K00001,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K00832,401,Metabolism ,Biosynthesis of other secondary metabolites,Novobiocin biosynthesis 
K00833,780,Metabolism ,Metabolism of cofactors and vitamins,Biotin metabolism 
K00835,290,Metabolism ,Amino acid metabolism ,Valine
K00836,260,Metabolism ,Amino acid metabolism ,Glycine
K00839,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00840,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K00841,300,Metabolism ,Amino acid metabolism ,Lysine biosynthesis 
K00844,521,Metabolism ,Biosynthesis of other secondary metabolites,Streptomycin biosynthesis 
K00844,524,Metabolism ,Biosynthesis of other secondary metabolites,Neomycin
K00844,5230,Human Diseases,Cancer: overview ,Central carbon metabolism in cancer 
K00844,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00844,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00844,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K00844,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00844,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K00844,4973,Organismal Systems,Digestive system,Carbohydrate digestion and absorption 
K00844,4930,Human Diseases,Endocrine and metabolic disease,Type II diabetes mellitus 
K00844,4910,Organismal Systems,Endocrine system,Insulin signaling pathway 
K00844,5131,Human Diseases,Infectious disease: bacterial ,Shigellosis 
K00844,4066,Environmental Information Processing,Signal transduction,HIF-1 signaling pathway 
K00845,521,Metabolism ,Biosynthesis of other secondary metabolites,Streptomycin biosynthesis 
K00845,524,Metabolism ,Biosynthesis of other secondary metabolites,Neomycin
K00845,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00845,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K00845,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00845,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K00846,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00847,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00847,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00847,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K00848,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00848,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00849,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00849,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K00850,5230,Human Diseases,Cancer: overview ,Central carbon metabolism in cancer 
K00850,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00850,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00850,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00850,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K00850,4922,Organismal Systems,Endocrine system,Glucagon signaling pathway 
K00850,4919,Organismal Systems,Endocrine system,Thyroid hormone signaling pathway 
K00850,680,Metabolism ,Energy metabolism,Methane metabolism 
K00850,3018,Genetic Information Processing ,Folding,RNA degradation 
K00850,4066,Environmental Information Processing,Signal transduction,HIF-1 signaling pathway 
K00850,4152,Environmental Information Processing,Signal transduction,AMPK signaling pathway 
K00851,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00852,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00853,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00854,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00855,710,Metabolism ,Energy metabolism,Carbon fixation in photosynthetic organisms 
K00856,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00857,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K00857,983,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes 
K00858,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K00859,770,Metabolism ,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis 
K00860,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K00860,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00863,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00863,680,Metabolism ,Energy metabolism,Methane metabolism 
K00863,4622,Organismal Systems,Immune system ,RIG-I-like receptor signaling pathway 
K00863,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K00864,3320,Organismal Systems,Endocrine system,PPAR signaling pathway 
K00864,4626,Organismal Systems,Environmental adaptation ,Plant-pathogen interaction 
K00864,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K00865,260,Metabolism ,Amino acid metabolism ,Glycine
K00865,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00865,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K00867,770,Metabolism ,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis 
K00868,750,Metabolism ,Metabolism of cofactors and vitamins,Vitamin B6 metabolism 
K00869,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K00869,4146,Cellular Processes ,Transport and catabolism ,Peroxisome 
K00872,260,Metabolism ,Amino acid metabolism ,Glycine
K00873,5230,Human Diseases,Cancer: overview ,Central carbon metabolism in cancer 
K00873,5203,Human Diseases,Cancer: overview ,Viral carcinogenesis 
K00873,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00873,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00873,4930,Human Diseases,Endocrine and metabolic disease,Type II diabetes mellitus 
K00873,4922,Organismal Systems,Endocrine system,Glucagon signaling pathway 
K00873,5165,Human Diseases,Infectious disease: viral ,Human papillomavirus infection 
K00873,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00874,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00875,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00876,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K00876,983,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes 
K00878,730,Metabolism ,Metabolism of cofactors and vitamins,Thiamine metabolism 
K00879,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00879,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00880,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00880,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K00881,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00882,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00882,2060,Environmental Information Processing,Membrane transport ,Phosphotransferase system (PTS) 
K00883,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K00884,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00885,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00886,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00886,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00887,550,Metabolism ,Glycan biosynthesis and metabolism ,Peptidoglycan biosynthesis 
K00891,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K00892,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00895,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00895,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00895,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00899,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K00901,5231,Human Diseases,Cancer: overview ,Choline metabolism in cancer 
K00901,4361,Organismal Systems,Development and regeneration,Axon regeneration 
K00901,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00901,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K00901,4070,Environmental Information Processing,Signal transduction,Phosphatidylinositol signaling system 
K00901,4072,Environmental Information Processing,Signal transduction,Phospholipase D signaling pathway 
K00912,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K00917,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K00918,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00918,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00918,680,Metabolism ,Energy metabolism,Methane metabolism 
K00919,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K00925,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00925,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00925,680,Metabolism ,Energy metabolism,Methane metabolism 
K00925,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00925,430,Metabolism ,Metabolism of other amino acids,Taurine and hypotaurine metabolism 
K00926,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K00926,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00926,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00927,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00927,710,Metabolism ,Energy metabolism,Carbon fixation in photosynthetic organisms 
K00927,4066,Environmental Information Processing,Signal transduction,HIF-1 signaling pathway 
K00928,260,Metabolism ,Amino acid metabolism ,Glycine
K00928,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K00928,300,Metabolism ,Amino acid metabolism ,Lysine biosynthesis 
K00928,261,Metabolism ,Biosynthesis of other secondary metabolites,Monobactam biosynthesis 
K00929,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00930,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K00931,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K00931,332,Metabolism ,Biosynthesis of other secondary metabolites,Carbapenem biosynthesis 
K00932,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00933,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K00937,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00937,3018,Genetic Information Processing ,Folding,RNA degradation 
K00938,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K00939,730,Metabolism ,Metabolism of cofactors and vitamins,Thiamine metabolism 
K00939,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00940,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00940,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K00940,4016,Environmental Information Processing,Signal transduction,MAPK signaling pathway - plant 
K00940,983,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes 
K00941,730,Metabolism ,Metabolism of cofactors and vitamins,Thiamine metabolism 
K00942,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00943,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K00945,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K00946,730,Metabolism ,Metabolism of cofactors and vitamins,Thiamine metabolism 
K00948,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K00948,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00949,730,Metabolism ,Metabolism of cofactors and vitamins,Thiamine metabolism 
K00950,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K00951,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00952,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K00954,770,Metabolism ,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis 
K00955,261,Metabolism ,Biosynthesis of other secondary metabolites,Monobactam biosynthesis 
K00955,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K00955,450,Metabolism ,Metabolism of other amino acids,Selenocompound metabolism 
K00955,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00956,261,Metabolism ,Biosynthesis of other secondary metabolites,Monobactam biosynthesis 
K00956,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K00956,450,Metabolism ,Metabolism of other amino acids,Selenocompound metabolism 
K00956,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00957,261,Metabolism ,Biosynthesis of other secondary metabolites,Monobactam biosynthesis 
K00957,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K00957,450,Metabolism ,Metabolism of other amino acids,Selenocompound metabolism 
K00957,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00958,261,Metabolism ,Biosynthesis of other secondary metabolites,Monobactam biosynthesis 
K00958,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K00958,450,Metabolism ,Metabolism of other amino acids,Selenocompound metabolism 
K00958,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00962,3018,Genetic Information Processing ,Folding,RNA degradation 
K00963,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00963,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K00963,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00963,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K00963,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K00965,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00965,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K00965,4917,Organismal Systems,Endocrine system,Prolactin signaling pathway 
K00966,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00966,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00967,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00967,440,Metabolism ,Metabolism of other amino acids,Phosphonate and phosphinate metabolism 
K00968,5231,Human Diseases,Cancer: overview ,Choline metabolism in cancer 
K00968,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00968,440,Metabolism ,Metabolism of other amino acids,Phosphonate and phosphinate metabolism 
K00969,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K00970,3018,Genetic Information Processing ,Folding,RNA degradation 
K00971,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00971,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00971,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K00972,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00973,521,Metabolism ,Biosynthesis of other secondary metabolites,Streptomycin biosynthesis 
K00973,525,Metabolism ,Biosynthesis of other secondary metabolites,Acarbose and validamycin biosynthesis 
K00973,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K00973,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K00974,3013,Genetic Information Processing ,Translation,RNA transport 
K00975,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00975,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K00975,2026,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Escherichia coli 
K00976,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00976,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00978,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00978,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K00978,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K00979,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K00980,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00981,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00981,4070,Environmental Information Processing,Signal transduction,Phosphatidylinositol signaling system 
K00983,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00983,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K00988,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K00988,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00990,2020,Environmental Information Processing,Signal transduction,Two-component system 
K00991,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K00992,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00995,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00997,770,Metabolism ,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis 
K00998,260,Metabolism ,Amino acid metabolism ,Glycine
K00998,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00999,562,Metabolism ,Carbohydrate metabolism,Inositol phosphate metabolism 
K00999,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00999,4070,Environmental Information Processing,Signal transduction,Phosphatidylinositol signaling system 
K01000,1502,Human Diseases,Drug resistance: antimicrobial ,Vancomycin resistance 
K01000,550,Metabolism ,Glycan biosynthesis and metabolism ,Peptidoglycan biosynthesis 
K01001,510,Metabolism ,Glycan biosynthesis and metabolism ,N-Glycan biosynthesis 
K01003,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K01004,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K01006,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K01006,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K01006,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K01006,710,Metabolism ,Energy metabolism,Carbon fixation in photosynthetic organisms 
K01007,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K01007,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K01007,680,Metabolism ,Energy metabolism,Methane metabolism 
K01007,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K01008,450,Metabolism ,Metabolism of other amino acids,Selenocompound metabolism 
K01011,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K01011,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K01011,4122,Genetic Information Processing ,Folding,Sulfur relay system 
K01012,780,Metabolism ,Metabolism of cofactors and vitamins,Biotin metabolism 
K01014,5204,Human Diseases,Cancer: overview ,Chemical carcinogenesis 
K01026,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K01026,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K01026,643,Metabolism ,Xenobiotics biodegradation and metabolism,Styrene degradation 
K01027,280,Metabolism ,Amino acid metabolism ,Valine
K01027,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K01027,72,Metabolism ,Lipid metabolism,Synthesis and degradation of ketone bodies 
K01028,280,Metabolism ,Amino acid metabolism ,Valine
K01028,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K01028,72,Metabolism ,Lipid metabolism,Synthesis and degradation of ketone bodies 
K01029,280,Metabolism ,Amino acid metabolism ,Valine
K01029,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K01029,72,Metabolism ,Lipid metabolism,Synthesis and degradation of ketone bodies 
K01031,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K01032,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K01034,310,Metabolism ,Amino acid metabolism ,Lysine degradation 
K01034,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K01034,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K01034,2020,Environmental Information Processing,Signal transduction,Two-component system 
K01034,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K01035,310,Metabolism ,Amino acid metabolism ,Lysine degradation 
K01035,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K01035,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K01035,2020,Environmental Information Processing,Signal transduction,Two-component system 
K01035,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K01039,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K01039,643,Metabolism ,Xenobiotics biodegradation and metabolism,Styrene degradation 
K01040,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K01040,643,Metabolism ,Xenobiotics biodegradation and metabolism,Styrene degradation 
K01042,450,Metabolism ,Metabolism of other amino acids,Selenocompound metabolism 
K01042,970,Genetic Information Processing ,Translation,Aminoacyl-tRNA biosynthesis 
K01046,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K01048,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K01051,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K01051,2020,Environmental Information Processing,Signal transduction,Two-component system 
K01053,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K01053,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K01053,930,Metabolism ,Xenobiotics biodegradation and metabolism,Caprolactam degradation 
K01055,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K01057,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K01058,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K01058,565,Metabolism ,Lipid metabolism,Ether lipid metabolism 
K01058,590,Metabolism ,Lipid metabolism,Arachidonic acid metabolism 
K01058,592,Metabolism ,Lipid metabolism,alpha-Linolenic acid metabolism 
K01058,591,Metabolism ,Lipid metabolism,Linoleic acid metabolism 
K01060,311,Metabolism ,Biosynthesis of other secondary metabolites,Penicillin and cephalosporin biosynthesis 
K01061,623,Metabolism ,Xenobiotics biodegradation and metabolism,Toluene degradation 
K01061,361,Metabolism ,Xenobiotics biodegradation and metabolism,Chlorocyclohexane and chlorobenzene degradation 
K01061,364,Metabolism ,Xenobiotics biodegradation and metabolism,Fluorobenzoate degradation 
K01067,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K01069,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K01070,680,Metabolism ,Energy metabolism,Methane metabolism 
K01071,61,Metabolism ,Lipid metabolism,Fatty acid biosynthesis 
K01075,130,Metabolism ,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis 
K01075,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K01077,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K01077,730,Metabolism ,Metabolism of cofactors and vitamins,Thiamine metabolism 
K01077,2020,Environmental Information Processing,Signal transduction,Two-component system 
K01078,740,Metabolism ,Metabolism of cofactors and vitamins,Riboflavin metabolism 
K01078,730,Metabolism ,Metabolism of cofactors and vitamins,Thiamine metabolism 
K01079,260,Metabolism ,Amino acid metabolism ,Glycine
K01079,680,Metabolism ,Energy metabolism,Methane metabolism 
K01081,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K01081,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K01081,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K01082,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K01083,562,Metabolism ,Carbohydrate metabolism,Inositol phosphate metabolism 
K01085,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K01086,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K01086,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K01086,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K01086,680,Metabolism ,Energy metabolism,Methane metabolism 
K01086,710,Metabolism ,Energy metabolism,Carbon fixation in photosynthetic organisms 
K01087,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K01089,340,Metabolism ,Amino acid metabolism ,Histidine metabolism 
K01091,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K01092,521,Metabolism ,Biosynthesis of other secondary metabolites,Streptomycin biosynthesis 
K01092,562,Metabolism ,Carbohydrate metabolism,Inositol phosphate metabolism 
K01092,4070,Environmental Information Processing,Signal transduction,Phosphatidylinositol signaling system 
K01093,562,Metabolism ,Carbohydrate metabolism,Inositol phosphate metabolism 
K01093,740,Metabolism ,Metabolism of cofactors and vitamins,Riboflavin metabolism 
K01095,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K01096,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K01101,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K01104,2020,Environmental Information Processing,Signal transduction,Two-component system 
K01113,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K01113,2020,Environmental Information Processing,Signal transduction,Two-component system 
K01114,562,Metabolism ,Carbohydrate metabolism,Inositol phosphate metabolism 
K01114,2024,Cellular Processes ,Cellular community - prokaryotes,Quorum sensing 
K01114,4919,Organismal Systems,Endocrine system,Thyroid hormone signaling pathway 
K01114,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K01114,565,Metabolism ,Lipid metabolism,Ether lipid metabolism 
K01115,5200,Human Diseases,Cancer: overview ,Pathways in cancer 
K01115,5231,Human Diseases,Cancer: overview ,Choline metabolism in cancer 
K01115,5212,Human Diseases,Cancer: specific types ,Pancreatic cancer 
K01115,4912,Organismal Systems,Endocrine system,GnRH signaling pathway 
K01115,4928,Organismal Systems,Endocrine system,Parathyroid hormone synthesis
K01115,4666,Organismal Systems,Immune system ,Fc gamma R-mediated phagocytosis 
K01115,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K01115,565,Metabolism ,Lipid metabolism,Ether lipid metabolism 
K01115,4724,Organismal Systems,Nervous system,Glutamatergic synapse 
K01115,4071,Environmental Information Processing,Signal transduction,Sphingolipid signaling pathway 
K01115,4024,Environmental Information Processing,Signal transduction,cAMP signaling pathway 
K01115,4072,Environmental Information Processing,Signal transduction,Phospholipase D signaling pathway 
K01115,4014,Environmental Information Processing,Signal transduction,Ras signaling pathway 
K01115,4144,Cellular Processes ,Transport and catabolism ,Endocytosis 
K01117,600,Metabolism ,Lipid metabolism,Sphingolipid metabolism 
K01119,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K01119,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K01120,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K01126,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K01129,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K01130,600,Metabolism ,Lipid metabolism,Sphingolipid metabolism 
K01134,600,Metabolism ,Lipid metabolism,Sphingolipid metabolism 
K01134,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K01135,531,Metabolism ,Glycan biosynthesis and metabolism ,Glycosaminoglycan degradation 
K01135,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
