VIE,COLUMN,ROW,SURFACE TEMP (TACK LIFE),SURFACE TEMP (FLUKE),THERMOCOUPLE,TIME,Date,CHAMBER,THERMOSTAT,LOCATION,WEATHER,LASER LOCATION,Other notes,,
2R6Y,5,2,34.5,,,14:53,June 6 2019,CONTROL,25,TOP BRANCH,SUN,BACK,,,
1R6R,2,1,32.6,,,14:57,June 6 2019,HEAT,27,ON LEAF,SUN,LAT,,,
1R4Y,1,2,30.6,,,14:58,June 6 2019,HEAT,27,MID BRANCH,SUN,BACK,,,
2R6R,2,3,26.1,,,15:00,June 6 2019,HEAT,27,ON LEAF,SUN,BACK,,,
4R6Y,4,2,31.4,,,15:01,June 6 2019,HEAT,27,TOP BRANCH,SUN,LAT,,,
5R2Y,4,4,29.9,,,15:02,June 6 2019,HEAT,27,SKY SCREEN,SUN,LAT,,,
1R2Y,5,4,31.7,,,15:04,June 6 2019,HEAT,27,TOP BRANCH,SUN,BACK,UNDER BRANCH,,
4R5R,5,1,32.6,,,15:05,June 6 2019,HEAT,27,LOW BRANCH,SUN,BACK,,24.7,
1R6R,2,1,23.1,,,16:45,June 6 2019,HEAT,27,LOW FRAME,CLOUDY,BACK,,,
3R6Y,3,1,22.8,,,16:47,June 6 2019,HEAT,27,LOW BRANCH,CLOUDY,BACK,,,
2R4R,4,1,23,,,16:48,June 6 2019,HEAT,27,MID SCREEN,CLOUDY,BACK,JUMPED DOWN TO LEAF,,
1R3Y,3,2,25.3,,,16:49,June 6 2019,HEAT,27,MID BRANCH,CLOUDY,BACK,JUMPED TO MID SCREEN,,
4R6Y,4,2,24.8,,,16:50,June 6 2019,HEAT,27,MID BRANCH,CLOUDY,NECK,,,
4R5Y,1,3,28.4,,,16:51,June 6 2019,HEAT,27,SKY SCREEN,CLOUDY,BACK,,,
5R2Y,4,4,25.5,,,16:52,June 6 2019,HEAT,27,MID FRAME ,CLOUDY,BACK,JUMPED TO MID BRANCH,,
3R6R,2,1,19.8,,,16:56,June 6 2019,CONTROL,25,LOW FRAME,CLOUDY,BACK,,21.3,
3R4Y,3,1,21,,,16:57,June 6 2019,CONTROL,25,SKY SCREEN,CLOUDY,BACK,,,
2R5Y,3,2,21.8,,,16:58,June 6 2019,CONTROL,25,SKY SCREEN,CLOUDY,BACK,,,
5R1Y,1,3,21.5,,,16:59,June 6 2019,CONTROL,25,MID BRANCH,CLOUDY,BACK,,,
5R6Y,4,2,21.4,,,17:00,June 6 2019,CONTROL,25,TOP BRANCH,CLOUDY,BACK,,,
1R3R,4,1,22.8,,,17:01,June 6 2019,CONTROL,25,SKY SCREEN,CLOUDY,BACK,,,
3R1Y,4,4,20.6,,,17:02,June 6 2019,CONTROL,25,LOW BRANCH,CLOUDY,BACK,,,
3R6R,2,1,30.3,25.3,,10:52,June 7 2019,CONTROL,25,TOP FRAME,PCLOUDY,,,,
1R5Y,1,2,31.4,28,,11:06,June 7 2019,CONTROL,25,TOP BRANCH,PCLOUDY,,,,
2R5Y,3,2,27.8,23.6,,11:10,June 7 2019,CONTROL,25,MID BRANCH,PCLOUDY,,,,
1R3R,4,1,28.8,26.5,,11:15,June 7 2019,CONTROL,25,TOP BRANCH,PCLOUDY,,,,
3R5R,2,3,27.3,23.8,,11:18,June 7 2019,CONTROL,25,MID BRANCH,PCLOUDY,,,,
2R6Y,5,2,26.3,26.4,,11:21,June 7 2019,CONTROL,25,TOP BRANCH,PCLOUDY,,lizard turned around on branch,,
1R4R,4,3,24.8,24.2,,11:23,June 7 2019,CONTROL,25,BOTTOM BRANCH,PCLOUDY,,fluke taken closer than tack,,
1R6R,2,1,27.4,26.3,,11:28,June 7 2019,HEAT,28,MID BRANCH,PCLOUDY,,fluke closer,,
1R4Y,1,2,25.8,26.7,,11:31,June 7 2019,HEAT,28,MID BRANCH,PCLOUDY,,same distance,,
2R6R,2,3,25.4,26.8,,11:37,June 7 2019,HEAT,28,PARTIAL LEAF LITTER,PCLOUDY,,same distance,,
2R4R,4,1,24.5,27.4,,11:39,June 7 2019,HEAT,28,MID BRANCH,PCLOUDY,,same distance,,
1R3Y,3,2,23.1,25.6,,11:42,June 7 2019,HEAT,28,BOTTOM BRANCH,PCLOUDY,,same distance,,
6R2Y,5,3,22.4,27.1,,11:45,June 7 2019,HEAT,28,TOP BRANCH,PCLOUDY,,same distance close,,
1R4R,4,3,24.4,25.2,,11:47,June 7 2019,HEAT,28,ON LEAF,PCLOUDY,,"taken 30 sec apart, liz running",,
2R5R,1,4,24.1,26,,14:17,June 7 2019,CONTROL,25,ON LEAF,PCLOUDY,,"30 sec apart, same distance",,
2R4Y,5,4,25.6,24.2,,14:19,June 7 2019,CONTROL,25,LOW SCREEN,PCLOUDY,,~5 sec same distance,,
3R5Y,1,1,26,25.7,,14:22,June 7 2019,CONTROL,25,MID SCREEN,PCLOUDY,,~10 sec same distance,,
3R4Y,3,1,28.1,26.9,,14:24,June 7 2019,CONTROL,25,TOP BRANCH/MOVED TO BOTTOM BRANCH,PCLOUDY,,~15 sec same distance,,
5R3Y,2,2,24.6,25.6,,14:28,June 7 2019,CONTROL,25,TOP FRAME/JUMPED MID BRANCH,PCLOUDY,,~10 sec same distance,,
4R64,5,1,25.9,25.6,,14:31,June 7 2019,CONTROL,25,TOP BRANCH,PCLOUDY,,~10 sec same distance /SUN INTENSITY INCREASED,,
2R5R,1,4,30,28.5,,14:33,June 7 2019,CONTROL,25,TOP BRANCH,SUN,,20 sec same,,
2R3R,3,4,27.3,27.6,,14:37,June 7 2019,HEAT,28,SKY SCREEN,PCLOUDY,,~5 sec same distance,,
1R2Y,5,4,30.7,28,,14:39,June 7 2019,HEAT,28,LOW FRAME TO LOW BRANCH,PCLOUDY,,~5 sec same distance /SUN INTENSITY INCREASED,,
4R2Y,1,1,33.9,29.8,,14:42,June 7 2019,HEAT,28,LEAF LITTER,PCLOUDY,,~10 sec same distance /SUN INTENSITY INCREASED,,
3R6Y,3,1,30.2,28.8,,14:45,June 7 2019,HEAT,28,MID SCREEN,PCLOUDY,,~10 sec same distance /SUN INTENSITY INCREASED,,
5R4Y,2,2,29,27,,14:48,June 7 2019,HEAT,28,MID SCREEN,CLOUDY RAIN,,~10 sec same distance,,
4R5R,5,1,23.5,29.2,,14:50,June 7 2019,HEAT,28,TOP FRAME,CLOUDY RAIN,,~10 sec same distance,,
5R4Y,2,4,23.5,31,,14:53,June 7 2019,HEAT,28,LOW BRANCH,CLOUDY RAIN,,~10 sec same distance,,
5R6R,2,4,,,,,June 7 2019,CONTROL,25,,,,,,
3R2Y,3,3,,,,,June 7 2019,CONTROL,25,,,,,,
5R6Y,4,2,,,,,June 7 2019,CONTROL,25,,,,,,
4R3Y,3,3,,,,,June 7 2019,HEAT,28,,,,,,
5R6R,2,4,30.3,26.8,SEE NOTES,10:44,June 8 2019,CONTROL,25,LOW BRANCH,SUN,BACK,"27.2, 1 MIN, 10 SEC, REMOVED THERMOCOUPLE PREMATURELY",,
3R1Y,4,4,31.9,26.7,SEE NOTES,10:46,June 8 2019,CONTROL,25,TOP BRANCH,SUN,LAT,"27.5, CLOUD PASSING, 55 SECONDS, REMOVED THERMOCOUPLE PREMATURELY",,
4R1Y,5,3,28.9,27.1,SEE NOTES,10:49,June 8 2019,CONTROL,25,LOW BRANCH,SUN,BACK,"26.5, REMOVED THERMOCOUPLE PREMATURELY",,
5R6Y,4,2,31.9,28.1,29,10:51,June 8 2019,CONTROL,25,TOP BRANCH,SUN,BACK,"52 SECONDS, WAITED FOR THERMOCOUPLE TO SLOW",,
3R2Y,3,3,30,30,29.3,10:53,June 8 2019,CONTROL,25,TOP BRANCH,SUN,LAT,"1 MINUTE 1 SECOND, WAITED FOR THERMOCOUPLE TO SLOW",,
5R3Y,2,2,30.6,27.5,27.7,10:55,June 8 2019,CONTROL,25,TOP FRAME,SUN,BACK,WAITED FOR THERMOCOUPLE TO SLOW,,
3R4Y,1,3,33,34,28.2,10:57,June 8 2019,CONTROL,25,ON LEAF,SUN,BACK,"WAITED FOR THERMOCOUPLE TO SLOW, JUMPED TO MID BRANCH DIRECTLY IN SUN",,
6R1Y,2,4,31.4,29.6,29.8,10:59,June 8 2019,HEAT,28,MID BRANCH,SUN,BACK,"WAITED FOR THERMOCOUPLE TO SLOW, 1 MIN, RAN AROUND CAGE BEFORE TEMP TAKEN",,
5R2Y,4,4,29.3,28.2,X,11:01,June 8 2019,HEAT,28,LOW BRANCH,SUN,BACK,"1 MIN, 24 SECONDS, WAITED FOR THERMOCOUPLE TO SLOW",,
6R2Y,5,3,27.8,31.2,31.2,11:03,June 8 2019,HEAT,28,MID FRAME,SUN,BACK,"JUMPED TO TOP SCREEN, TIME = 38 SECONDS, WAITED FOR THERMOCOUPLE TO SLOW",,
4R6Y,4,2,32.1,31.1,31.1,11:04,June 8 2019,HEAT,28,TOP FRAME,SUN,BACK,"50.93 SECONDS, WAITED FOR THERMOCOUPLE TO SLOW",,
4R3Y,3,3,28.5,X,30.9,11:07,June 8 2019,HEAT,28,MID BRANCH,SUN,BACK,1:37 MIN. INDIVIDUAL RAN AROUND TOO LONG TO RECORD MEANINGFUL THERMOCOUPLE DATA,,
5R4Y,2,2,31.5,31.1,31.2,11:09,June 8 2019,HEAT,28,MID BRANCH,SUN,BACK,"48 SECONDS, WAITED FOR THERMOCOUPLE TO SLOW",,
3R6Y,1,3,31.8,30,30,11:11,June 8 2019,HEAT,28,TOP BRANCH,SUN,BACK,"36 SECONDS, WAITED FOR THERMOCOUPLE TO SLOW",,
4R2Y,1,1,33.9,31,30.2,11:12,June 8 2019,HEAT,28,LEAFLITTER,SUN,BACK,"45 SECONDS, WAITED FOR THERMOCOUPLE TO SLOW",,
2R5R,1,4,28.2,27.1,29.6,13:45,June 8 2019,CONTROL,25,MID BRANCH,SUN,BACK,"CLOUD PASSING, 54 SECONDS",,
3R5R,2,3,31.5,27.4,28.8,13:46,June 8 2019,CONTROL,25,MID BRANCH,SUN,BACK,"1 MIN, 4 SECONDS",,
2R3Y,3,4,26.9,25,27.3,13:49,June 8 2019,CONTROL,25,TOP FRAME,SUN,BACK,"CLOUD PASSING, 50 SECONDS",,
3R1Y,4,4,28.1,25.3,26.4,13:51,June 8 2019,CONTROL,25,MID BRANCH,SUN,LAT,,,
3R5Y,1,1,32.5,29.1,30.5,13:53,June 8 2019,CONTROL,25,TOP SCREEN,PCLOUDY,BACK,1 MIN 2 SECONDS,,
3R4Y,3,1,27.6,26.3,28.2,13:55,June 8 2019,CONTROL,25,TOP SCREEN,PCLOUDY,BACK,37 SECONDS,,
4R6R,5,1,31.1,28.8,31.3,13:56,June 8 2019,CONTROL,25,TOP FRAME,PCLOUDY,LAT,46 SECONDS,,
1R6Y,1,4,28.5,27.1,29.4,14:00,June 8 2019,HEAT,28,TOP BRANCH,PCLOUDY,LAT,"1 MIN, 1 SECOND",,
2R3R,3,4,30.2,28.1,27.2,14:02,June 8 2019,HEAT,28,MID BRANCH,PCLOUDY,BACK,"1:07 MIN, 20 SECONDS TO CATCH LIZARD",,
5R2Y,4,4,27.2,27.1,27.2,14:05,June 8 2019,HEAT,28,TOP FRAME,PCLOUDY,BACK,46 SECONDS,,
2R6R,2,3,28.2,27.5,27.6,14:07,June 8 2019,HEAT,28,MID BRANCH,PCLOUDY,BACK,1 MIN,,
1R6R,2,1,29.9,28.4,29,14:10,June 8 2019,HEAT,28,LOW BRANCH,PCLOUDY,LAT,"JUMPED ON LEAFLITTER, 1 MIN 9 SECONDS",,
3R6Y,3,1,25.2,26.9,27.1,14:13,June 8 2019,HEAT,28,LOW SCREEN,PCLOUDY,BACK,"JUMPED ON LEAFLITTER, 45 SECONDS",,
4R5R,5,1,23.9,28.1,27.5,14:14,June 8 2019,HEAT,28,LEAFLITTER/LEAF,PCLOUDY,BACK,"47 SECONDS, STEADILY INCREASING TEMPERATURE",,
1R6R,2,1,27,26.8,27.1,16:30,June 8 2019,HEAT,28,LOW BRANCH,CLOUDY,BACK,57 SECONDS,,
1R4Y,1,2,27.8,27.5,-,16:33,June 8 2019,HEAT,28,LOW FRAME,CLOUDY,LAT,"LIZARD ESCAPED, TEMP NOT RECORDED",,
1R3Y,3,2,28.1,27.5,27.1,16:34,June 8 2019,HEAT,28,TOP FRAME,CLOUDY,BACK,43 SECONDS,,
1R5R,4,3,27.9,27,27.3,16:38,June 8 2019,HEAT,28,TOP BRANCH,CLOUDY,BACK,45 SECONDS,,
1R2Y,5,4,27.6,27.1,27.5,16:38,June 8 2019,HEAT,28,,CLOUDY,BACK,30 SECONDS,,
3R6R,2,1,25.7,25.4,25.6,16:41,June 8 2019,CONTROL,25,TOP BRANCH,CLOUDY,BACK,45 SECONDS,,
1R5Y,1,2,25.9,25.5,26.4,16:42,June 8 2019,CONTROL,25,TOP BRANCH,CLOUDY,LAT,1 MIN 5 SECONDS,,
2R5Y,3,2,25.4,25.5,26.2,16:44,June 8 2019,CONTROL,25,MIDSCREEN,CLOUDY,BACK,"RUNNING AROUND, 45 SECONDS",,
2R6Y,5,2,26.5,26.1,26.9,16:45,June 8 2019,CONTROL,25,TOP FRAME,CLOUDY,BACK,32 SECONDS,,
2R4Y,5,4,25.6,25.9,27.2,16:46,June 8 2019,CONTROL,25,TOP SCREEN,CLOUDY,BACK,45 SECONDS,,
1R2R,5,2,-,-,-,,June 8 2019,HEAT,28,-,,-,DEAD LIZARD,,
6R1Y,2,4,31.5,28.8,29.2,10:40,June 9 2019,HEAT,28,MID BRANCH,PCLOUDY,BACK,QUICK,,
5R2Y,4,4,30.1,28.1,28.7,10:44,June 9 2019,HEAT,28,LOW BRANCH,PCLOUDY,BACK,"SON QUICK , ALL TEMPERATURES TAKEN ON LEAF LITTER",,
6R2Y,5,3,32.1,28.7,28.8,10:47,June 9 2019,HEAT,28,TOP BRANCH,SUN ,BACK,QUICK,,
4R6Y,4,2,34.3,29.3,30.2,10:50,June 9 2019,HEAT,28,TOP BRANCH,SUN ,LAT,5 SEE RUN,,
4R3Y,3,3,30.8,28.5,27.8,10:55,June 9 2019,HEAT,28,MID BRANCH,SUN ,LAT,"15 SEC RUN, JUMED INTO EAF LITTER, TEMP LIKELY DROPPED ",,
5R4Y,2,2,32.5,30.1,30.8,10:57,June 9 2019,HEAT,28,TOP BRANCH,SUN,,5 SEE RUN,,
4R5Y,1,3,28.6,28.1,29.3,11:00,June 9 2019,HEAT,28,BOTTOM FRAME,SUN,,HELD LIZARD BY HIP INSTEAD OF HEAD MAY EFFECT TEMP,,
5R6R,2,4,26.1,25.4,27.5,11:05,June 9 2019,CONTROL,25,MID BRANCH,SUN,,QUICK,,
3R1Y,4,4,29,25.6,26.5,11:10,June 9 2019,CONTROL,25,LEAF LITTER,SUN,,QUICK LASER (FLUKE) TEMPERATURE INCREASING STEADLY ONE TENTH AT A TIME FROM 25.9-27,,
5R1Y,1,3,29.4,27.3,29.1,11:15,June 9 2019,CONTROL,25,LEAF LITTER,PCLOUDY,,RAN < 5 SEC,,
4R1Y,5,3,27.4,28.6,30.1,11:15,June 9 2019,CONTROL,25,LEAF LITTER,SUN,,"RAN 5 SEC, TEMP INCREASING FROM 30.1",,
5R6Y,4,2,27.6,27.5,28.3,11:16,June 9 2019,CONTROL,25,TOP BRANCH,PCLOUDY,,QUICK,,
3R2Y,3,3,26.2,24.5,26.3,11:18,June 9 2019,CONTROL,25,MID SCREEN,,,RAN < 5 SEC,,
5R3Y,2,2,31.3,25.8,25.9,11:21,June 9 2019,CONTROL,25,TOP BRANCH,PCLOUDY,,,,
1R6Y,1,4,26.9,26.6,28,14:58,June 9 2019,HEAT,28,TOP BRANCH,CLOUDY,,"RAN  AROUND 15 SEC, SLOW, TEMP CHANCE LIKELY",,
2R3R,3,4,27.2,26.6,28.3,15:01,June 9 2019,HEAT,28,MID BRANCH,CLOUDY,,"RAN AROUND 15 SEC, SLOW, TACK LIFE TAKEN AT LOW BRANCH FLUKE MID-HIGH",,
1R2Y,5,4,29.6,28.8,29.3,15:04,June 9 2019,HEAT,28,TOP BRANCH,PCLOUDY,,,,
1R5R,4,3,27.9,26.6,28,15:06,June 9 2019,HEAT,28,TOP BRANCH,PCLOUDY,,RAN TO LEAF LITTER WHILE STEMPS TAKEN QUICK CATCH,,
2R6R,2,3,24.6,24.4,24.7,15:08,June 9 2019,HEAT,28,LEAF LITTER,PCLOUDY,,QUICK - 1:00 TO FIND LIZARD,,
1R6R,2,1,25,26.6,28.1,15:10,June 9 2019,HEAT,28,ON LEAF,PCLOUDY,BACK,RAN ~ 10 SEC,,
2R4R,4,1,29.1,28.6,SEE NOTES,15:19,June 9 2019,HEAT,28,NOT RECORDED,NOT RECORDED,NOT RECORDED,27.8 30 SECONDS RAN TOO LONG TEMP NOT RELIABLE,,
2R5R,1,4,23.2,22.5,24.5,15:26,June 9 2019,CONTROL,25,SKY SCREEN,CLOUDY,BACK,SKY SCREEN SURFACE TMEPERATURES TAKEN AT DIFFERENT PLACES RAN < 5 SEC,,
2R3Y,3,4,21,22.7,24,15:29,June 9 2019,CONTROL,25,TOP FRAME,CLOUDY,BACK,RAN < 3 SECONDS,,
2R4Y,5,4,22,23.9,26.5,15:32,June 9 2019,CONTROL,25,TOP FRAME,CLOUDY,BACK,QUICK,,
1R4R,4,3,23.8,23.9,24.8,15:35,June 9 2019,CONTROL,25,TOP BRANCH,CLOUDY,BACK,"QUICK, TEMP RISING 1/10 QUICKLY & HOLDING LIZARD BY TORSO",,
3R5R,2,3,18,22.2,23.8,15:38,June 9 2019,CONTROL,25,MID BRANCH,CLOUDY,NOT RECORDED,RAINING,,
3R6R,2,1,18.7,22.4,SEE NOTES,15:41,June 9 2019,CONTROL,25,TOP FRAME,CLOUDY,NOT RECORDED,"24.5, HELD LIZARD LONG COULD NOT INSER THERMOCOUPLE",,
1R3R,4,1,19.5,22.7,23.9,15:45,June 9 2019,CONTROL,25,TOP BRANCH,CLOUDY,NOT RECORDED,QUICK,,
1R3Y,3,2,28.8,27.8,28.8,15:50,June 9 2019,HEAT,28,TOP BRANCH,PCLOUDY,NOT RECORDED,RAN < 5 SECONDS,STARTED RAINING,
4R5R,5,1,29.1,28,28.3,9:07,June 10 2019,HEAT,28,ON LEAF,CLOUDY,NOT RECORDED,QUICK AC NOT ONE,,
2R4R,4,1,29,28.1,28.2,9:10,June 10 2019,HEAT,28,TOP BRANCH,CLOUDY,NOT RECORDED,1:20 TOTAL QUICK,,
1R6R,2,1,29.2,28,29,9:13,June 10 2019,HEAT,28,MID BRANCH,CLOUDY,NOT RECORDED,RAN ~ 5 SEC,,
4R2Y,1,1,29.2,28.7,28.9,9:14,June 10 2019,HEAT,28,MID BRANCH,CLOUDY,NOT RECORDED,QUICK,,
2R6R,2,3,29.7,28.5,28.7,9:17,June 10 2019,HEAT,28,MID BRANCH,CLOUDY,NOT RECORDED,RAN < 3 SECONDS,,
4R3Y,3,3,SEE NOTES,SEE NOTES,SEE NOTES,9:20,June 10 2019,HEAT,28,NOT RECORDED,CLOUDY,NOT RECORDED,TOO STRESSED,,
1R5R,4,3,29,28.6,28.8,9:23,June 10 2019,HEAT,28,NOT RECORDED,CLOUDY,NOT RECORDED,TOO STRESSED,,
4R6R,5,1,24,23.7,24.7,9:26,June 10 2019,CONTROL,25,LEAF LITTER,CLOUDY,NOT RECORDED,59 SECONDS TOTAL QUICJ CATCH LONG HOLD,,
1R3R,4,1,23.5,23.7,24.9,9:29,June 10 2019,CONTROL,25,NO TAKEN,CLOUDY,NOT RECORDED,QUICK,,
3R5Y,1,1,24,24.7,25.2,9:32,June 10 2019,CONTROL,25,TOP SCREEN,CLOUDY,NOT RECORDED,QUICK,,
3R6R,2,1,24.9,24.5,25.5,9:35,June 10 2019,CONTROL,25,TOP SCREEN,CLOUDY,NOT RECORDED,STEMPS TAKEN TOP SCREEN/BOTTOM FRAME RAN > 3 SECONDS,,
3R5R,2,3,19.4,21.7,SEE NOTES,9:39,June 10 2019,CONTROL,25,TOP SCREEN,CLOUDY,NOT RECORDED,"22.8, TOO STRESSED RUNNING STEMPS TAKEN AT DIFFERENT PLACES AC ON QUICK CATCH",,
3R2Y,3,3,19,21.3,SEE NOTES,9:42,June 10 2019,CONTROL,25,MID SCREEN,CLOUDY,NOT RECORDED,"23.1, TOO STRESSED STEMPS TAKEN DIFFERENT PLACES AC ON",,
1R4R,4,3,20.3,22.5,SEE NOTES,9:46,June 10 2019,CONTROL,25,TOP SCREEN,CLOUDY,NOT RECORDED,"23.4, TOO STRESSED RUNNING ~ 10 SECONDS TO CATCH",,
1R6Y,1,4,29,28.6,SEE NOTES,14:14,June 10 2019,HEAT,28,TOP BRANCH,CLOUDY,NOT RECORDED,TOO LONG TO CATCH,,
2R3R,3,4,28.8,SEE NOTES,27.6,14:17,June 10 2019,HEAT,28,TOP BRANCH,CLOUDY,NOT RECORDED,RAN 20 SECONDS STEMPS TAKEN ON LEAF/ FLUKE (26.5) OBSTRUCTED BY DEBRIS?,,
4R6Y,4,2,27,25.3,26.3,14:22,June 10 2019,HEAT,28,TOP BRANCH,CLOUDY,NOT RECORDED,QUICK,,
3R6Y,3,1,27.7,26,26.4,14:25,June 10 2019,HEAT,28,LEAF LITTER,CLOUDY,BACK,RAN < 5 SECONDS,,
5R4Y,2,2,29.6,27.4,27.7,14:28,June 10 2019,HEAT,28,TOP BRANCH,CLOUDY,LAT,QUICK,,
1R4Y,1,2,30.3,29,28.5,14:31,June 10 2019,HEAT,28,NOT RECORDED,CLOUDY,NOT RECORDED,RAN < 5 SECONDS,,
4R5Y,1,3,30.4,29.3,28.6,14:34,June 10 2019,HEAT,28,TOP SCREEN,CLOUDY,NOT RECORDED,QUICK,,
2R5R,1,4,23.9,24.3,25.3,14:39,June 10 2019,CONTROL,25,LOW BRANCH,CLOUDY,NOT RECORDED,QUICK,,
5R6R,2,4,24,24.2,24.9,14:42,June 10 2019,CONTROL,25,MID SCREEN,CLOUDY,NOT RECORDED,QUICK,,
3R1Y,4,4,22.8,23.8,25.4,14:45,June 10 2019,CONTROL,25,MID BRANCH,CLOUDY,NOT RECORDED,QUICK AC ON,,
4R1Y,5,3,20.2,22.6,23.2,14:48,June 10 2019,CONTROL,25,LOW SCREEN,CLOUDY,NOT RECORDED,QUICK,,
1R4R,4,3,19.5,21.9,22.3,14:52,June 10 2019,CONTROL,25,ON LEAF,CLOUDY,NOT RECORDED,RAN < 5 SECONDS,,
3R2Y,3,3,20.3,SEE NOTES,24,14:56,June 10 2019,CONTROL,25,ON LEAF,CLOUDY,NOT RECORDED,RAN WHILE TAKING FLUKE,,
5R1Y,1,3,23.6,24.3,25,15:00,June 10 2019,CONTROL,25,MID BRANCH,CLOUDY,NOT RECORDED,RAN ~ 15 SECONDS,,
1R2Y,5,4,29.6,29.6,29.2,10:46,June 11 2019,HEAT,28,TOP BRANCH,CLOUDY,NOT RECORDED,57 SECONDS TOTAL QUICK,,
2R3R,3,4,27.2,26.3,26.6,10:50,June 11 2019,HEAT,28,TOP SCREEN,CLOUDY,NOT RECORDED,1 MIN TOTAL RAN FOR 15 SECONDS,,
1R6Y,1,4,SEE NOTES,SEE NOTES,SEE NOTES,10:53,June 11 2019,HEAT,28,LEAF LITTER,CLOUDY,NOT RECORDED,LOST TAIL DATA NOT RECORDED,,
4R6Y,4,2,27.6,27.2,27.3,10:56,June 11 2019,HEAT,28,TOP BRANCH,CLOUDY,NOT RECORDED,QUICK,,
5R4Y,2,2,29.3,28.1,27.3,10:58,June 11 2019,HEAT,28,TOP SCREEN,CLOUDY,NOT RECORDED,QUICK,,
1R6R,2,1,29.5,28.2,29.2,11:00,June 11 2019,HEAT,28,MID BRANCH,CLOUDY,NOT RECORDED,50 SECONDS TOTAL QUICK FLUKE WAS TAKEN ON LITTER,,
4R5R,5,1,31.5,29.9,29.6,11:01,June 11 2019,HEAT,28,ON LEAF,CLOUDY,NOT RECORDED,RAN ~ 10 SECONDS,,
2R5R,1,4,23.5,22.8,24.1,11:04,June 11 2019,CONTROL,25,ON LEAF LITTER,CLOUDY,NOT RECORDED,QUICK,,
2R3Y,3,4,24,22.8,23,11:05,June 11 2019,CONTROL,25,MID SCREEN,CLOUDY,NOT RECORDED,RAN <3 SEC,,
2R4Y,5,4,23.5,23.4,24.8,11:07,June 11 2019,CONTROL,25,ON LEAF,CLOUDY,NOT RECORDED,RAN 5 SEC,,
5R3Y,2,2,23.9,25.5,25.3,11:09,June 11 2019,CONTROL,25,TOP BRANCH,CLOUDY,NOT RECORDED,"TACK LIFE TAKEN ON MID SCREEN, FLUKE TAKEN ON LEAF, RAN ~5 SEC",,
3R6R,2,1,23.7,24.3,24.5,11:11,June 11 2019,CONTROL,25,MID BRANCH,CLOUDY,NOT RECORDED,STRESSED QUICK,,
5R6Y,4,2,22.7,24,23.7,11:14,June 11 2019,CONTROL,25,TOP BRANCH,CLOUDY,NOT RECORDED,QUICK,,
4R6R,5,1,23.3,24.1,24.8,11:15,June 11 2019,CONTROL,25,MID SCREEN,CLOUDY,NOT RECORDED,RAN FOR 10 SEC,,
5R6R,2,4,23.5,24.3,23.9,13:11,June 11 2019,CONTROL,25,TOP SCREEN,CLOUDY,NOT RECORDED,39 SEC TOTAL,,
3R1Y,4,4,24.8,24.9,25,13:13,June 11 2019,CONTROL,25,MID BRANCH,CLOUDY,NOT RECORDED,RAN <3 SEC,,
3R2Y,3,3,18.9,22.9,24,13:15,June 11 2019,CONTROL,25,MID BRANCH,CLOUDY,NOT RECORDED,RAN <3 SEC,,
2R5Y,3,2,23,24.1,24.6,13:17,June 11 2019,CONTROL,25,TOP BRANCH,CLOUDY,NOT RECORDED,,,
2R6Y,5,2,21.7,23.7,24.9,13:17,June 11 2019,CONTROL,25,ON LEAF,CLOUDY,NOT RECORDED,"RAN 5 SEC, HOPPED ON ARM",,
3R6R,2,1,24.3,25.3,25.2,13:20,June 11 2019,CONTROL,25,TOP BRANCH,CLOUDY,NOT RECORDED,RAN FOR 15-20 SEC,,
5R2Y,4,4,29.8,29.2,28.8,13:20,June 11 2019,HEAT,28,MID SCREEN,CLOUDY,NOT RECORDED,,,
3R5Y,1,1,24.9,24.9,24.1,13:22,June 11 2019,CONTROL,25,TOP BRANCH,CLOUDY,NOT RECORDED,,,
6R1Y,2,4,28.3,28.1,28.2,13:25,June 11 2019,HEAT,28,ON LEAF,CLOUDY,NOT RECORDED,QUICK,,
1R3Y,3,2,26.3,26.9,26.4,13:30,June 11 2019,HEAT,28,TOP BRANCH,CLOUDY,NOT RECORDED,,,
4R3Y,3,3,26.6,28.4,27.5,13:30,June 11 2019,HEAT,28,TOP BRANCH,CLOUDY,NOT RECORDED,"RAN <5 SEC, TOTAL TIME 39 SEC",,
1R6R,2,1,25.7,26,26.6,13:32,June 11 2019,HEAT,28,BOTTOM FRAME,CLOUDY,NOT RECORDED,RAN ~15 SEC,,
4R2Y,1,1,27.4,27.5,27.2,13:34,June 11 2019,HEAT,28,TOP SCREEN,CLOUDY,NOT RECORDED,QUICK,,
6R2Y,5,3,26.8,27,27.7,13:35,June 11 2019,HEAT,28,TOP BRANCH,CLOUDY,NOT RECORDED,RAN FOR 20 SEC,,
6R1Y,2,4,28.8,27.4,27.9,13:39,June 12 2019,HEAT,28,ON LEAF?,PCLOUDY,NOT RECORDED,"AC ON RAN >10 SEC, JUMPED TO MID BRANCH",,
5R6R,2,4,24.5,25.7,25.8,13:42,June 12 2019,CONTROL,25,LOW BRANCH,PCLOUDY,NOT RECORDED,"JUMPED TO LOW SCREEN 59 SEC TOTAL, QUICK",,
2R3Y,3,4,26.6,25.4,25.2,13:46,June 12 2019,CONTROL,25,LEAF LITTER,PCLOUDY,NOT RECORDED,"RAN STEMPS OF 54 SEC TOTAL QUICK, AC ON",,
